modality,style,query_kind,V,extra,negs,mining,seed,rephrase,order
text,infonce,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,infonce-mined,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,siglip-mined,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,cosent,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,ours-cosent,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,mse,rephrased,,rephrase=in-context,labeled,,42,in-context,
text,ours-mse,rephrased,40.0,"easy=10,rephrase=in-context",labeled,,42,in-context,
text,ours-infonce,rephrased,40.0,rephrase=in-context,labeled,,42,in-context,
text,ours-siglip,rephrased,20.0,"easy=10,rephrase=in-context",labeled,,42,in-context,
text,ours-infonce-margin,rephrased,80.0,"easy=10,rephrase=in-context",labeled,,42,in-context,
text,ours-mse-batched,rephrased,40.0,"easy=10,rephrase=in-context",labeled,,42,in-context,
text,mse-mined,rephrased,40.0,"easy=10,rephrase=in-context",labeled,,42,in-context,
text,infonce-ours-v3,rephrased,20.0,rephrase=in-context,labeled,,42,in-context,
text,infonce-ours-v3,rephrased,20.0,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,infonce-ours-v3,rephrased,20.0,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,infonce-mined,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,infonce-mined,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,siglip-mined,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,siglip-mined,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,cosent,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,cosent,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,mse,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,mse,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,infonce-mined,rephrased,,"negs=mined,mining=m0.1_s10,rephrase=in-context",mined,m0.1_s10,42,in-context,
text,infonce-mined,rephrased,,"negs=mined,mining=m0.1_s10,seed=43,rephrase=in-context",mined,m0.1_s10,43,in-context,
text,infonce-mined,rephrased,,"negs=mined,mining=m0.1_s10,seed=44,rephrase=in-context",mined,m0.1_s10,44,in-context,
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,rephrase=in-context",mixed,m0.025_s10,42,in-context,
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=43,rephrase=in-context",mixed,m0.025_s10,43,in-context,
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=44,rephrase=in-context",mixed,m0.025_s10,44,in-context,
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,rephrase=in-context,order=mined-first",mixed,m0.025_s10,42,in-context,mined-first
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=43,rephrase=in-context,order=mined-first",mixed,m0.025_s10,43,in-context,mined-first
text,infonce-ours-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=44,rephrase=in-context,order=mined-first",mixed,m0.025_s10,44,in-context,mined-first
text,ours-mse-batched,rephrased,40.0,"easy=10,seed=43,rephrase=in-context",labeled,,43,in-context,
text,ours-mse-batched,rephrased,40.0,"easy=10,seed=44,rephrase=in-context",labeled,,44,in-context,
text,ours-siglip,rephrased,20.0,"easy=10,seed=43,rephrase=in-context",labeled,,43,in-context,
text,ours-siglip,rephrased,20.0,"easy=10,seed=44,rephrase=in-context",labeled,,44,in-context,
text,ours-cosent,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,ours-cosent,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,mse-mined,rephrased,40.0,"easy=10,seed=43,rephrase=in-context",labeled,,43,in-context,
text,mse-mined,rephrased,40.0,"easy=10,seed=44,rephrase=in-context",labeled,,44,in-context,
text,cosent,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,cosent,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,siglip-mined,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,siglip-mined,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=mined,mining=m0.1_s10,rephrase=in-context",mined,m0.1_s10,42,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=mined,mining=m0.1_s10,seed=43,rephrase=in-context",mined,m0.1_s10,43,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=mined,mining=m0.1_s10,seed=44,rephrase=in-context",mined,m0.1_s10,44,in-context,
text,cosent,rephrased,,"negs=mined,mining=m0.1_s10,rephrase=in-context",mined,m0.1_s10,42,in-context,
text,cosent,rephrased,,"negs=mined,mining=m0.1_s10,seed=43,rephrase=in-context",mined,m0.1_s10,43,in-context,
text,cosent,rephrased,,"negs=mined,mining=m0.1_s10,seed=44,rephrase=in-context",mined,m0.1_s10,44,in-context,
text,siglip-mined,rephrased,,"negs=mined,mining=m0.1_s10,rephrase=in-context",mined,m0.1_s10,42,in-context,
text,siglip-mined,rephrased,,"negs=mined,mining=m0.1_s10,seed=43,rephrase=in-context",mined,m0.1_s10,43,in-context,
text,siglip-mined,rephrased,,"negs=mined,mining=m0.1_s10,seed=44,rephrase=in-context",mined,m0.1_s10,44,in-context,
text,ours-cosent,rephrased,,"negs=mixed,mining=m0.025_s10,rephrase=in-context",mixed,m0.025_s10,42,in-context,
text,ours-cosent,rephrased,,"negs=mixed,mining=m0.025_s10,seed=43,rephrase=in-context",mixed,m0.025_s10,43,in-context,
text,ours-cosent,rephrased,,"negs=mixed,mining=m0.025_s10,seed=44,rephrase=in-context",mixed,m0.025_s10,44,in-context,
text,ours-mse-batched,rephrased,20.0,"easy=10,negs=mixed,mining=m0.025_s10,rephrase=in-context",mixed,m0.025_s10,42,in-context,
text,ours-mse-batched,rephrased,20.0,"easy=10,negs=mixed,mining=m0.025_s10,seed=43,rephrase=in-context",mixed,m0.025_s10,43,in-context,
text,ours-mse-batched,rephrased,20.0,"easy=10,negs=mixed,mining=m0.025_s10,seed=44,rephrase=in-context",mixed,m0.025_s10,44,in-context,
text,siglip-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,rephrase=in-context",mixed,m0.025_s10,42,in-context,
text,siglip-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=43,rephrase=in-context",mixed,m0.025_s10,43,in-context,
text,siglip-v3,rephrased,20.0,"negs=mixed,mining=m0.025_s10,seed=44,rephrase=in-context",mixed,m0.025_s10,44,in-context,
text,infonce-mined,rephrased,,"negs=random,rephrase=in-context",random,,42,in-context,
text,infonce-mined,rephrased,,"negs=random,seed=43,rephrase=in-context",random,,43,in-context,
text,infonce-mined,rephrased,,"negs=random,seed=44,rephrase=in-context",random,,44,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=random,rephrase=in-context",random,,42,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=random,seed=43,rephrase=in-context",random,,43,in-context,
text,mse-mined,rephrased,40.0,"easy=10,negs=random,seed=44,rephrase=in-context",random,,44,in-context,
text,cosent,rephrased,,"negs=random,rephrase=in-context",random,,42,in-context,
text,cosent,rephrased,,"negs=random,seed=43,rephrase=in-context",random,,43,in-context,
text,cosent,rephrased,,"negs=random,seed=44,rephrase=in-context",random,,44,in-context,
text,siglip-mined,rephrased,,"negs=random,rephrase=in-context",random,,42,in-context,
text,siglip-mined,rephrased,,"negs=random,seed=43,rephrase=in-context",random,,43,in-context,
text,siglip-mined,rephrased,,"negs=random,seed=44,rephrase=in-context",random,,44,in-context,
text,siglip-v3,rephrased,80.0,rephrase=in-context,labeled,,42,in-context,
text,siglip-v3,rephrased,80.0,"seed=43,rephrase=in-context",labeled,,43,in-context,
text,siglip-v3,rephrased,80.0,"seed=44,rephrase=in-context",labeled,,44,in-context,
multimodal,infonce,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,infonce-mined,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,siglip-mined,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,cosent,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,ours-cosent,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,mse,rephrased,,rephrase=in-context,labeled,,42,in-context,
multimodal,ours-mse-batched,rephrased,20,"easy=10,rephrase=in-context",labeled,,42,in-context,
multimodal,mse-mined,rephrased,80,"easy=10,rephrase=in-context",labeled,,42,in-context,
multimodal,infonce-ours-v3,rephrased,40,rephrase=in-context,labeled,,42,in-context,
multimodal,infonce-ours-v3,rephrased,40,"seed=43,rephrase=in-context",labeled,,43,in-context,
multimodal,infonce-ours-v3,rephrased,40,"seed=44,rephrase=in-context",labeled,,44,in-context,
multimodal,infonce-mined,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
multimodal,infonce-mined,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
multimodal,siglip-mined,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
multimodal,siglip-mined,rephrased,,"seed=44,rephrase=in-context",labeled,,44,in-context,
multimodal,cosent,rephrased,,"seed=43,rephrase=in-context",labeled,,43,in-context,
